max_depth,reproduction,mutation_probability,leaf_inner_swap_probability,crossover_probability,succesion,accuracy,min_score,max_score,std_dev
5,proportional,0.4,0.0,0.0,generational,0.8837802197802198,0.7362637362637363,0.967032967032967,0.03940613492711663
5,proportional,0.4,0.0,0.0,elite_2,0.905934065934066,0.8241758241758241,0.978021978021978,0.02753979711663068
5,proportional,0.4,0.0,0.4,generational,0.8766593406593407,0.7252747252747253,0.956043956043956,0.04657778660411542
5,proportional,0.4,0.0,0.4,elite_2,0.9127032967032968,0.8241758241758241,0.978021978021978,0.027036742170466355
5,proportional,0.4,0.3,0.0,generational,0.894065934065934,0.7912087912087912,0.956043956043956,0.03168363270377102
5,proportional,0.4,0.3,0.0,elite_2,0.9156923076923077,0.8241758241758241,0.978021978021978,0.026434704178486375
5,proportional,0.4,0.3,0.4,generational,0.8958241758241757,0.8021978021978022,0.956043956043956,0.027652723462685925
5,proportional,0.4,0.3,0.4,elite_2,0.9162197802197802,0.8351648351648352,0.978021978021978,0.024159060927986566
5,proportional,0.8,0.0,0.0,generational,0.8850989010989011,0.7252747252747253,0.956043956043956,0.041670087363952696
5,proportional,0.8,0.0,0.0,elite_2,0.9048791208791209,0.8021978021978022,0.967032967032967,0.030801623704397048
5,proportional,0.8,0.0,0.4,generational,0.880087912087912,0.7362637362637363,0.967032967032967,0.043015821643748904
5,proportional,0.8,0.0,0.4,elite_2,0.9100659340659341,0.8351648351648352,0.967032967032967,0.027820693484753904
5,proportional,0.8,0.3,0.0,generational,0.8955604395604395,0.7912087912087912,0.956043956043956,0.02616989727861587
5,proportional,0.8,0.3,0.0,elite_2,0.9196483516483517,0.8681318681318682,0.989010989010989,0.023701314746298545
5,proportional,0.8,0.3,0.4,generational,0.8911648351648351,0.8021978021978022,0.956043956043956,0.02446986917398904
5,proportional,0.8,0.3,0.4,elite_2,0.9158681318681319,0.8461538461538461,0.978021978021978,0.0240960948849396
5,rank_0.05,0.4,0.0,0.0,generational,0.8816703296703297,0.6813186813186813,0.967032967032967,0.04836808073708967
5,rank_0.05,0.4,0.0,0.0,elite_2,0.9011868131868133,0.7912087912087912,0.967032967032967,0.031190962050027676
5,rank_0.05,0.4,0.0,0.4,generational,0.8643516483516485,0.7252747252747253,0.967032967032967,0.0465618936592999
5,rank_0.05,0.4,0.0,0.4,elite_2,0.9049670329670331,0.7802197802197802,0.967032967032967,0.030806429127485015
5,rank_0.05,0.4,0.3,0.0,generational,0.8929230769230769,0.8131868131868132,0.956043956043956,0.030541263161934406
5,rank_0.05,0.4,0.3,0.0,elite_2,0.9107692307692308,0.8461538461538461,0.967032967032967,0.025066571927395323
5,rank_0.05,0.4,0.3,0.4,generational,0.8916043956043955,0.7802197802197802,0.956043956043956,0.032109368205879986
5,rank_0.05,0.4,0.3,0.4,elite_2,0.9090989010989011,0.8351648351648352,0.978021978021978,0.02809905920923388
